height,weight,age
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
179,70,20
192,71,15
200,72,14
212,75,14
215,78,11
140,60,22
155,62,25
159,67,24
